Iteration,Fitness,Fitness_Convergence,x,x_Convergence,y,y_Convergence,status
1,1.7864,1.7864,0.8802,0.8802,1.5285,1.5285,True
2,1.9562,1.9562,1.0524,1.0524,2.2049,2.2049,True
3,1.9709,1.9709,1.0512,1.0524,1.8362,2.2049,True
4,1.9743,1.9743,0.934,1.0524,1.8533,2.2049,True
5,1.9743,1.9743,0.934,1.0524,1.8533,2.2049,True
6,1.9942,1.9942,0.9901,1.0524,2.0754,2.2049,True
7,1.9942,1.9942,0.9901,1.0524,2.0754,2.2049,True
8,1.9964,1.9964,1.0341,1.0524,2.0498,2.2049,True
9,1.9964,1.9964,1.0341,1.0524,2.0498,2.2049,True
10,1.9964,1.9964,1.0341,1.0524,2.0498,2.2049,True
11,1.9964,1.9964,1.0341,1.0524,2.0498,2.2049,True
12,1.9964,1.9964,1.0341,1.0524,2.0498,2.2049,True
13,1.9964,1.9964,1.0341,1.0524,2.0498,2.2049,True
14,1.9964,1.9964,1.0341,1.0524,2.0498,2.2049,True
15,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
16,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
17,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
18,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
19,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
20,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
21,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
22,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
23,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
24,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
25,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
26,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
27,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
28,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
29,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
30,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
31,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
32,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
33,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
34,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
35,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
36,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
37,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
38,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
39,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
40,1.9989,1.9989,0.9706,1.0524,2.0144,2.2049,True
41,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
42,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
43,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
44,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
45,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
46,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
47,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
48,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
49,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
50,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
51,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
52,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
53,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
54,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
55,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
56,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
57,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
58,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
59,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
60,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
61,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
62,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
63,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
64,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
65,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
66,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
67,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
68,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
69,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
70,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
71,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
72,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
73,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
74,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
75,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
76,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
77,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
78,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
79,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
80,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
81,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
82,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
83,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
84,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
85,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
86,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
87,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
88,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
89,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
90,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
91,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
92,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
93,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
94,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
95,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
96,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
97,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
98,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
99,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
100,2.0,2.0,1.0011,1.0524,2.001,2.2049,True
